LeadTime,StaysInWeekendNights,StaysInWeekNights,Adults,Children,ADR,Country,Company,ReservedRoomType,IsRepeatedGuest,IsCanceled,Mes_Estancia,Mes_Reserva,Contract,Group,Transient,Transient-Party,BB,FB,HB,SC,Undefined
238,0,2,2,0,54.0,0.0,0,0.0,0,1,2,12,0,0,1,0,0,0,1,0,0
174,2,5,2,1,108.02,0.0,0,5.0,0,1,5,12,0,0,1,0,1,0,0,0,0
260,4,9,1,0,47.54,0.0,0,3.0,0,1,12,8,0,0,1,0,1,0,0,0,0
168,0,2,2,0,86.0,0.0,0,0.0,0,1,4,1,0,0,1,0,0,0,1,0,0
1,0,1,1,0,35.0,0.0,88,0.0,1,1,11,11,0,0,1,0,1,0,0,0,0
145,2,3,2,0,100.8,0.0,0,4.0,0,1,6,6,0,0,1,0,1,0,0,0,0
17,0,3,2,0,155.0,1.0,0,3.0,0,1,6,6,0,0,1,0,1,0,0,0,0
102,1,2,2,0,50.0,0.0,0,0.0,0,1,2,2,0,0,0,1,0,0,1,0,0
25,2,2,2,0,46.4,0.0,0,3.0,0,1,3,3,0,0,1,0,1,0,0,0,0
219,2,5,2,0,93.5,0.0,0,3.0,0,1,6,10,1,0,0,0,1,0,0,0,0
82,2,0,2,0,86.0,0.0,0,0.0,1,1,2,11,0,0,0,1,1,0,0,0,0
98,0,3,2,0,210.0,2.0,0,3.0,0,1,8,8,0,0,1,0,1,0,0,0,0
103,1,1,1,0,42.0,0.0,0,0.0,0,1,3,12,0,0,1,0,1,0,0,0,0
49,3,6,2,0,111.2,0.0,0,3.0,0,1,7,6,0,0,1,0,0,1,0,0,0
81,2,1,2,0,116.0,3.0,0,0.0,0,1,6,5,0,0,1,0,1,0,0,0,0
375,4,10,2,0,59.5,0.0,0,0.0,0,1,10,9,1,0,0,0,0,0,1,0,0
36,2,1,2,1,244.16,0.0,0,4.0,0,1,8,7,0,0,1,0,1,0,0,0,0
183,2,1,2,0,72.0,0.0,0,0.0,0,1,12,10,0,0,1,0,0,1,0,0,0
227,4,6,2,0,72.0,0.0,0,0.0,0,1,6,4,0,0,1,0,1,0,0,0,0
471,2,5,2,0,47.0,0.0,0,0.0,0,1,5,5,0,0,1,0,1,0,0,0,0
304,2,3,1,0,74.0,0.0,0,0.0,0,1,6,4,0,0,1,0,0,0,1,0,0
212,2,5,2,0,76.05,0.0,0,3.0,0,1,4,10,0,0,1,0,0,0,1,0,0
359,2,5,3,1,219.0,0.0,0,7.0,0,1,7,3,0,0,1,0,1,0,0,0,0
1,0,1,2,0,119.7,0.0,543,4.0,1,1,7,7,0,0,1,0,1,0,0,0,0
86,2,3,2,0,93.94,0.0,0,3.0,0,1,4,4,0,0,1,0,0,0,1,0,0
11,2,2,2,0,146.25,4.0,0,4.0,0,1,5,5,0,0,1,0,1,0,0,0,0
81,0,5,2,0,103.8,0.0,0,4.0,0,1,9,7,0,0,1,0,1,0,0,0,0
166,0,3,2,2,215.0,0.0,0,2.0,0,1,8,3,0,0,1,0,1,0,0,0,0
298,3,7,2,0,107.1,5.0,0,4.0,0,1,6,8,0,0,1,0,1,0,0,0,0
152,4,10,2,0,119.7,0.0,0,0.0,0,1,8,4,0,0,1,0,0,0,1,0,0
228,4,9,2,0,207.23,6.0,0,3.0,0,1,8,1,0,0,1,0,0,0,1,0,0
238,0,2,2,0,54.0,0.0,0,0.0,0,1,2,12,0,0,1,0,0,0,1,0,0
104,2,5,2,0,80.0,5.0,0,0.0,0,1,5,2,0,0,1,0,1,0,0,0,0
46,0,1,2,0,68.0,7.0,0,4.0,0,1,2,2,0,0,1,0,1,0,0,0,0
214,0,2,2,0,54.0,4.0,0,0.0,0,1,5,10,0,0,1,0,1,0,0,0,0
206,2,5,2,0,55.25,5.0,0,3.0,0,1,10,7,0,0,1,0,1,0,0,0,0
33,4,8,2,2,127.83,8.0,0,2.0,0,1,5,4,0,0,1,0,1,0,0,0,0
244,2,5,2,0,8.0,5.0,0,0.0,0,1,9,6,0,0,0,1,1,0,0,0,0
238,0,3,2,0,70.4,0.0,0,0.0,0,1,3,8,0,0,1,0,0,0,1,0,0
26,0,4,1,0,22.5,0.0,0,0.0,0,1,11,10,0,0,0,1,1,0,0,0,0
343,1,2,2,0,70.2,0.0,0,3.0,0,1,6,10,0,0,1,0,1,0,0,0,0
48,2,5,2,0,70.0,4.0,0,3.0,0,1,4,3,0,0,1,0,1,0,0,0,0
462,0,3,2,0,78.0,0.0,0,0.0,0,1,5,6,0,0,1,0,0,0,1,0,0
344,3,8,2,0,68.4,0.0,0,3.0,0,1,6,3,1,0,0,0,1,0,0,0,0
178,2,2,2,2,110.75,9.0,0,6.0,0,1,10,6,0,0,1,0,1,0,0,0,0
15,2,1,1,0,43.0,5.0,0,0.0,0,1,11,11,0,0,1,0,1,0,0,0,0
312,1,3,2,0,54.0,4.0,0,0.0,0,1,5,7,0,0,1,0,1,0,0,0,0
0,0,1,1,0,114.0,0.0,270,0.0,0,1,7,7,0,0,1,0,1,0,0,0,0
211,1,1,2,0,85.0,0.0,0,0.0,0,1,5,4,0,0,0,1,0,0,1,0,0
120,2,3,2,0,107.0,0.0,0,4.0,0,1,9,7,0,0,1,0,1,0,0,0,0
14,0,3,1,0,75.0,4.0,0,3.0,0,1,10,10,0,0,1,0,1,0,0,0,0
19,0,2,2,2,95.0,7.0,0,2.0,0,1,3,3,0,0,1,0,1,0,0,0,0
39,2,1,2,0,71.23,0.0,0,3.0,0,1,10,9,0,0,1,0,1,0,0,0,0
11,2,1,2,0,68.0,0.0,0,0.0,0,1,12,12,0,0,0,1,0,0,1,0,0
132,0,3,2,0,29.16,0.0,0,0.0,0,1,1,9,0,0,1,0,1,0,0,0,0
16,0,4,1,0,239.0,4.0,0,3.0,0,1,8,8,0,0,1,0,1,0,0,0,0
40,0,2,1,0,55.0,0.0,0,0.0,0,1,5,4,0,0,1,0,1,0,0,0,0
135,2,2,2,0,68.0,9.0,0,3.0,0,1,10,6,0,0,1,0,1,0,0,0,0
259,1,2,2,0,126.0,0.0,0,0.0,0,1,8,8,0,0,1,0,1,0,0,0,0
280,2,5,2,0,112.8,0.0,0,3.0,0,1,7,2,1,0,0,0,0,0,1,0,0
88,0,5,2,0,212.0,10.0,0,3.0,0,1,7,4,0,0,1,0,0,0,1,0,0
1,0,1,2,0,149.0,4.0,0,3.0,0,1,8,8,0,0,1,0,1,0,0,0,0
15,2,0,1,0,79.0,0.0,0,0.0,0,1,11,10,0,0,1,0,0,0,1,0,0
10,0,2,2,0,48.0,0.0,0,0.0,0,1,1,1,0,0,1,0,1,0,0,0,0
254,0,2,2,0,108.9,0.0,0,0.0,1,1,6,6,0,0,1,0,0,0,1,0,0
268,0,3,2,0,131.0,0.0,0,0.0,0,1,8,11,0,0,1,0,1,0,0,0,0
143,2,2,2,0,84.0,0.0,0,0.0,0,1,4,1,0,0,1,0,0,1,0,0,0
2,0,1,1,0,39.0,0.0,0,0.0,1,1,2,2,0,0,1,0,1,0,0,0,0
244,0,3,2,0,36.0,0.0,0,0.0,0,1,9,4,0,0,1,0,1,0,0,0,0
295,2,6,2,0,54.0,4.0,0,0.0,0,1,5,1,0,0,1,0,1,0,0,0,0
44,2,2,3,0,124.55,0.0,0,6.0,0,1,9,8,0,0,1,0,1,0,0,0,0
121,2,5,2,0,72.0,4.0,0,3.0,0,1,4,1,0,0,1,0,0,0,1,0,0
101,0,1,1,0,89.0,0.0,0,0.0,0,1,9,6,0,0,1,0,1,0,0,0,0
305,2,5,2,1,54.0,4.0,0,0.0,0,1,5,12,0,0,0,1,1,0,0,0,0
107,4,6,2,0,79.2,0.0,0,4.0,0,1,5,5,0,0,1,0,1,0,0,0,0
20,1,4,2,0,256.0,7.0,0,4.0,0,1,8,8,0,0,1,0,1,0,0,0,0
120,2,5,2,0,100.0,5.0,0,3.0,0,1,5,1,0,0,1,0,1,0,0,0,0
82,2,0,2,0,86.0,0.0,0,0.0,1,1,2,11,0,0,0,1,1,0,0,0,0
41,2,1,3,1,322.0,4.0,0,7.0,0,1,8,7,0,0,1,0,0,0,1,0,0
222,4,6,2,0,110.7,0.0,0,0.0,0,1,9,9,0,0,1,0,1,0,0,0,0
207,1,1,2,0,34.0,0.0,0,0.0,0,1,9,6,0,0,1,0,0,0,1,0,0
81,1,2,2,0,73.0,0.0,0,0.0,0,1,5,2,0,0,1,0,1,0,0,0,0
60,1,0,2,0,189.0,7.0,0,0.0,0,1,8,6,0,0,1,0,1,0,0,0,0
9,1,0,2,0,70.0,0.0,0,0.0,0,1,5,5,0,0,0,1,1,0,0,0,0
64,1,3,2,0,29.0,0.0,0,0.0,0,1,2,12,0,0,1,0,1,0,0,0,0
215,0,3,2,0,110.0,0.0,0,0.0,0,1,6,12,0,0,1,0,0,1,0,0,0
26,0,1,2,0,85.0,7.0,0,0.0,0,1,4,4,0,0,1,0,1,0,0,0,0
247,1,2,2,0,81.0,7.0,0,0.0,0,1,10,9,0,0,1,0,0,1,0,0,0
23,0,3,2,2,130.0,11.0,0,6.0,0,1,10,10,0,0,1,0,1,0,0,0,0
77,0,3,2,0,198.0,0.0,0,0.0,0,1,8,6,0,0,1,0,1,0,0,0,0
71,2,5,2,0,135.0,0.0,0,0.0,0,1,8,7,0,0,1,0,0,0,1,0,0
65,2,5,2,0,89.0,0.0,0,0.0,0,1,9,7,0,0,1,0,1,0,0,0,0
13,0,1,1,0,35.0,0.0,0,0.0,0,1,12,12,0,0,1,0,1,0,0,0,0
250,2,1,2,0,178.0,0.0,0,4.0,0,1,7,5,0,0,1,0,1,0,0,0,0
4,0,1,1,0,38.0,0.0,0,0.0,0,1,1,1,0,0,1,0,1,0,0,0,0
250,2,4,2,0,99.0,0.0,0,4.0,0,1,6,1,0,0,1,0,1,0,0,0,0
90,1,3,2,0,37.8,7.0,0,0.0,0,1,12,12,0,0,1,0,1,0,0,0,0
295,2,8,2,0,80.1,5.0,0,0.0,0,1,5,8,0,0,1,0,1,0,0,0,0
69,2,3,2,0,257.0,7.0,0,3.0,0,1,7,6,0,0,1,0,0,0,1,0,0
19,1,2,2,0,52.8,0.0,0,4.0,0,1,1,1,0,0,1,0,1,0,0,0,0
195,2,5,2,1,201.6,0.0,0,3.0,0,1,8,5,0,0,1,0,0,0,1,0,0
1,2,6,2,2,153.0,0.0,0,6.0,0,1,9,9,0,0,1,0,1,0,0,0,0
70,2,5,2,2,173.0,12.0,0,2.0,0,1,5,3,0,0,1,0,0,0,1,0,0
295,1,4,1,0,57.51,0.0,0,0.0,0,1,6,6,0,0,1,0,1,0,0,0,0
198,2,7,2,0,107.6,13.0,0,4.0,0,1,10,4,0,0,1,0,0,0,1,0,0
49,0,2,2,0,35.0,0.0,0,0.0,0,1,2,1,0,0,1,0,1,0,0,0,0
123,0,3,2,0,170.0,12.0,0,4.0,0,1,7,3,0,0,1,0,1,0,0,0,0
167,1,5,2,0,155.33,0.0,0,3.0,0,1,6,1,0,0,1,0,0,0,1,0,0
259,0,3,1,0,33.3,4.0,223,0.0,0,1,9,1,0,0,1,0,1,0,0,0,0
0,1,0,1,0,40.0,0.0,53,0.0,0,1,3,3,0,0,1,0,1,0,0,0,0
3,0,4,3,1,110.75,0.0,0,7.0,0,1,12,12,0,0,1,0,1,0,0,0,0
92,1,2,2,0,79.0,0.0,0,0.0,0,1,2,12,0,0,1,0,0,0,0,0,1
227,2,5,2,0,54.0,5.0,0,0.0,0,1,5,10,0,0,1,0,1,0,0,0,0
79,2,3,2,0,37.0,14.0,0,0.0,0,1,2,12,0,0,1,0,1,0,0,0,0
